timestamp,open,high,low,close,volume
2018-09-07,341.6000,353.3500,339.2800,349.2800,13166434
2018-08-31,352.1100,355.6800,341.5800,342.7900,13325458
2018-08-24,348.6000,355.8700,345.4628,349.3800,12456721
2018-08-17,339.6000,348.5000,328.0300,346.4000,16630253
2018-08-10,347.3700,352.1200,336.4500,339.4100,12900927
2018-08-03,361.9900,362.4500,345.6700,348.4400,13468125
2018-07-27,355.0000,364.5400,345.5000,360.6500,18586288
2018-07-20,353.9700,361.8600,352.3500,354.9000,13239216
2018-07-13,337.5000,351.2400,336.5100,350.7900,13776105
2018-07-06,330.6900,339.6888,329.1000,334.6400,8851205
2018-06-29,332.5200,341.4200,327.2900,335.5100,19196264
2018-06-22,353.1900,357.6450,336.1952,338.9100,22106967
2018-06-15,371.0000,373.3299,353.4700,357.8800,22762005
2018-06-08,358.9700,374.4800,358.8500,369.5000,17817173
2018-06-01,357.7100,360.9700,350.6600,356.7200,14138895
2018-05-25,358.4600,365.0000,351.6200,360.0900,23068067
2018-05-18,344.0000,352.0500,340.2500,351.2300,14570348
2018-05-11,335.2300,348.5700,335.2100,342.4600,18805870
2018-05-04,341.1700,342.5800,319.1250,334.4300,21509137
2018-04-27,339.5500,347.6700,323.2800,340.8800,29501313
2018-04-20,332.3400,342.4100,327.6250,338.6700,16445470
2018-04-13,332.2500,339.6700,322.0500,329.2800,24181887
2018-04-06,325.2000,338.9599,311.8800,326.1200,29977404
2018-03-29,330.4800,334.8800,311.1700,327.8800,19744753
2018-03-23,327.4500,341.9100,318.3216,321.0000,30407704
2018-03-16,355.2000,355.2300,322.3000,330.4700,42091933
2018-03-09,338.0000,355.2100,336.6100,354.5200,25182571
2018-03-02,359.5000,371.6000,335.3000,344.6700,33093586
2018-02-23,352.0000,360.8100,351.4000,356.6600,16078163
2018-02-16,336.5700,359.5000,335.1300,355.0400,26169289
2018-02-09,342.6700,353.5900,317.3900,332.8300,47174096
2018-02-02,341.2300,361.4500,334.1600,348.9100,30493900
2018-01-26,335.2900,345.9800,332.0400,343.2200,25077971
2018-01-19,339.9000,352.2300,331.3300,337.7300,38004972
2018-01-12,308.6600,336.8800,305.7500,336.2100,25126634
2018-01-05,295.7500,308.8900,295.3960,308.8400,16135607
2017-12-29,295.5400,297.4400,294.6500,294.9100,5939172
2017-12-22,295.0800,299.3300,293.0100,295.1000,14895242
2017-12-15,286.2100,297.3700,279.9000,293.9400,24853990
2017-12-08,276.1600,287.3200,274.0046,285.9000,19258384
2017-12-01,265.3800,278.7300,264.7200,271.3800,16039680
2017-11-24,263.0000,267.4800,262.7600,265.8800,6835123
2017-11-17,261.6700,265.0400,260.1500,262.2600,11812074
2017-11-10,262.6200,267.6200,259.5626,260.8500,13797791
2017-11-03,255.4500,263.7900,255.3300,261.7500,13755875
2017-10-27,265.1300,267.2100,254.5000,256.4600,21281730
2017-10-20,261.5000,264.8272,256.0300,264.7500,12886488
2017-10-13,259.0000,263.7900,257.1100,260.7400,12561982
2017-10-06,254.6500,258.9900,253.5301,258.5800,15409157
2017-09-29,256.9700,258.7700,251.1700,254.2100,14489361
2017-09-22,249.9700,259.3000,248.9100,256.4500,19140101
2017-09-15,239.5000,249.9500,237.0900,249.0000,24743990
2017-09-08,240.3000,240.3600,234.2900,238.7800,14145912
2017-09-01,236.2200,242.5300,234.6110,240.3300,15001564
2017-08-25,235.7700,239.8900,234.3500,235.8900,12514833
2017-08-18,236.0100,240.2600,234.5664,235.7700,14270162
2017-08-11,237.6000,241.4300,230.9400,234.8800,23523933
2017-08-04,241.8500,246.4900,236.0400,237.7100,26522020
2017-07-28,212.0000,242.6800,211.4000,241.2700,34717772
2017-07-21,208.7300,212.2014,207.5300,212.1400,10912619
2017-07-14,202.3200,208.7300,202.1900,208.5100,13318292
2017-07-07,198.0700,203.2800,197.7500,202.3700,9963543
2017-06-30,202.7700,204.3900,196.4500,197.7500,12069094
2017-06-23,197.8800,202.3500,197.0000,202.2300,16164097
2017-06-16,190.3000,197.9500,188.0500,196.4400,16609897
2017-06-09,190.0700,191.0700,186.3926,190.0300,13197715
2017-06-02,186.7600,191.7000,184.5300,190.2300,12920955
2017-05-26,183.7800,187.6050,182.5200,186.5900,11491004
2017-05-19,183.3000,184.1100,175.4710,180.7600,15127182
2017-05-12,185.3800,187.2050,178.1800,183.2500,17970704
2017-05-05,184.2300,185.0700,181.8000,185.0100,13145174
2017-04-28,181.7500,184.9300,180.1100,184.8300,16622278
2017-04-21,175.8400,180.9300,175.6500,180.3800,13016652
2017-04-13,179.0000,179.9700,175.5639,175.6200,9521827
2017-04-07,177.0800,180.1800,175.5000,178.8500,12977911
2017-03-31,174.3700,178.4900,173.7500,176.8600,10573815
2017-03-24,180.1000,180.2500,174.7687,175.8200,12200680
2017-03-17,177.1600,180.3835,177.0700,180.1000,17552863
2017-03-10,181.4000,182.8400,177.9200,178.7000,16713564
2017-03-03,178.0000,185.7100,177.5500,182.1800,21986618
2017-02-24,173.9200,178.8000,173.6800,177.4400,14763417
2017-02-17,166.4500,173.2500,166.3500,172.7100,18431007
2017-02-10,162.4200,167.4199,162.3800,166.2300,16533575
2017-02-03,165.9200,165.9900,160.8200,162.4000,20717488
2017-01-27,158.9400,170.0000,157.2900,167.7000,25657473
2017-01-20,158.2000,160.3000,156.7500,159.5300,11333509
2017-01-13,159.0000,159.9400,156.6700,158.8300,13699116
2017-01-06,156.3000,159.7000,155.2100,159.1000,11836969
2016-12-30,158.4100,158.4800,154.9600,155.6800,7500477
2016-12-23,155.1600,158.9900,155.0700,157.8100,13690019
2016-12-16,156.0000,160.0700,153.0600,154.5000,22313083
2016-12-09,153.2400,156.8750,150.0200,156.4900,14924195
2016-12-02,149.0000,153.0800,148.3150,152.2500,17614554
2016-11-25,147.2100,150.8100,146.5200,150.0400,10628394
2016-11-18,148.2100,150.0900,144.4600,146.3500,17771215
2016-11-11,141.5000,149.3400,141.2924,148.5200,21637768
2016-11-04,143.0500,143.9000,138.8038,139.5400,14331761
2016-10-28,136.4100,146.2300,136.4100,143.0100,34784889
2016-10-21,133.5000,136.9500,133.3300,135.6300,8138084
2016-10-14,134.5890,136.8700,131.3900,133.5000,15075708
2016-10-07,131.2800,135.0000,130.7400,133.8500,16316525
2016-09-30,131.0700,132.7800,129.8600,131.7400,11244818
2016-09-23,127.5000,132.4800,127.2700,131.7800,14617847
2016-09-16,126.8780,130.6800,126.3100,126.7000,26401053
2016-09-09,131.6300,133.0800,128.5200,128.5300,13861433
2016-09-02,132.7200,133.5800,128.3600,131.1600,14894785
2016-08-26,134.3000,136.3700,131.8200,132.2300,12031028
2016-08-19,133.7000,135.9600,133.4000,134.4400,12379941
2016-08-12,132.1400,133.7800,131.7100,133.1000,12898154
2016-08-05,133.2100,134.2300,130.9550,131.7300,14712304
2016-07-29,133.1800,139.4500,132.3000,133.6600,22104513
2016-07-22,132.3800,135.6700,130.5700,133.4700,17096386
2016-07-15,130.8400,133.2500,129.3700,132.3900,18229543
2016-07-08,128.4300,130.4600,123.9600,130.0900,15458434
2016-07-01,125.6800,130.3400,122.3500,129.6900,22964711
2016-06-24,131.3600,134.5500,126.2100,126.5200,23633807
2016-06-17,130.7900,131.7650,126.9000,129.8200,21492365
2016-06-10,127.6000,133.8200,127.4500,131.1400,22943387
2016-06-03,129.8800,129.9800,124.7800,127.3800,21859673
2016-05-27,127.4000,129.8965,125.8800,129.2200,19365284
2016-05-20,131.6300,134.4900,127.0850,127.3900,19617109
2016-05-13,132.8000,135.2400,131.8200,132.1200,18650663
2016-05-06,134.3800,135.0000,130.5300,133.2600,17737974
2016-04-29,130.4500,137.8900,129.3100,134.8000,26286641
2016-04-22,130.6400,133.8500,128.4900,131.0500,21443526
2016-04-15,128.2500,131.9499,126.6800,131.1300,20896680
2016-04-08,126.5400,130.0200,125.5800,127.8800,22229539
2016-04-01,132.5300,132.7300,125.1100,126.9600,28296307
2016-03-24,133.4600,136.7800,130.0300,132.1200,19593298
2016-03-18,123.9300,134.6800,123.8600,133.9600,28064317
2016-03-11,120.8000,125.5000,120.5700,124.6300,20489563
2016-03-04,118.1200,122.2300,117.5000,121.0700,21282711
2016-02-26,116.5500,119.4500,112.5100,118.1600,23973286
2016-02-19,109.7300,118.2300,109.0000,115.1600,27614355
2016-02-12,120.6700,121.3300,102.1000,108.6300,62181030
2016-02-05,119.6400,124.9100,117.1500,122.5600,34839682
2016-01-29,124.6000,128.1500,115.0200,120.1300,57820213
2016-01-22,127.0600,127.2200,119.8200,124.6100,23918968
2016-01-15,130.8500,132.8800,124.5100,125.6300,27979022
2016-01-08,141.3800,141.7000,129.8000,129.9900,26111644
2015-12-31,143.2600,148.0000,142.8450,144.5900,8837401
2015-12-24,140.2100,144.0700,139.7000,143.5300,11076803
2015-12-18,144.5000,149.8000,138.8900,139.5800,26226150
2015-12-11,148.3000,149.5000,142.2710,144.6200,20526036
